BAJAJFINSV | 2018-03 | ROCE_ANOMALY | computed=12.52% source=21.14% diff=8.62pp | category=version difference
BAJAJFINSV | 2018-03 | ROE_ANOMALY | computed=20.39% source=11.72% diff=8.67pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
BAJAJFINSV | 2019-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJFINSV | 2019-03 | ROCE_ANOMALY | computed=12.18% source=21.14% diff=8.96pp | category=version difference
BAJAJFINSV | 2019-03 | ROE_ANOMALY | computed=22.64% source=11.72% diff=10.92pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
BAJAJFINSV | 2020-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJFINSV | 2020-03 | ROCE_ANOMALY | computed=11.52% source=21.14% diff=9.62pp | category=version difference
BAJAJFINSV | 2020-03 | ROE_ANOMALY | computed=19.15% source=11.72% diff=7.43pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
BAJAJFINSV | 2021-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJFINSV | 2021-03 | ROCE_ANOMALY | computed=11.95% source=21.14% diff=9.19pp | category=version difference
BAJAJFINSV | 2021-03 | ROE_ANOMALY | computed=20.56% source=11.72% diff=8.84pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
BAJAJFINSV | 2022-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJFINSV | 2022-03 | ROCE_ANOMALY | computed=10.66% source=21.14% diff=10.48pp | category=version difference
BAJAJFINSV | 2022-03 | ROE_ANOMALY | computed=20.66% source=11.72% diff=8.94pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
BAJAJFINSV | 2023-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJFINSV | 2023-03 | ROCE_ANOMALY | computed=11.55% source=21.14% diff=9.59pp | category=version difference
BAJAJFINSV | 2023-03 | ROE_ANOMALY | computed=26.31% source=11.72% diff=14.59pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
BAJAJFINSV | 2024-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJFINSV | 2024-03 | ROCE_ANOMALY | computed=11.71% source=21.14% diff=9.43pp | category=version difference
BAJAJFINSV | 2024-03 | ROE_ANOMALY | computed=25.85% source=11.72% diff=14.13pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
BAJAJHLDNG | 2013-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJHLDNG | 2013-03 | ROCE_ANOMALY | computed=3.14% source=13.10% diff=9.96pp | category=version difference
BAJAJHLDNG | 2014-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJHLDNG | 2014-03 | ROCE_ANOMALY | computed=3.38% source=13.10% diff=9.72pp | category=version difference
BAJAJHLDNG | 2015-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJHLDNG | 2015-03 | ROCE_ANOMALY | computed=3.88% source=13.10% diff=9.22pp | category=version difference
BAJAJHLDNG | 2016-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJHLDNG | 2016-03 | ROCE_ANOMALY | computed=2.85% source=13.10% diff=10.25pp | category=version difference
BAJAJHLDNG | 2017-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJHLDNG | 2017-03 | ROCE_ANOMALY | computed=3.57% source=13.10% diff=9.53pp | category=version difference
BAJAJHLDNG | 2018-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJHLDNG | 2019-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJHLDNG | 2020-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJHLDNG | 2021-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
BAJAJHLDNG | 2022-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
